video_id,video_url,ranking,query,sort_by_filter,label
Qg7G0VTi3iY,https://www.youtube.com/watch?v=Qg7G0VTi3iY,9,fentynal,rating,0
9TYr6sqDEfY,https://www.youtube.com/watch?v=9TYr6sqDEfY,10,heroin addict,date,1
rp6OQwnrxgI,https://www.youtube.com/watch?v=rp6OQwnrxgI,6,on heroin,viewCount,0
eWdCJm9q1bw,https://www.youtube.com/watch?v=eWdCJm9q1bw,9,on heroin,viewCount,-1
S5QmPK_5rMY,https://www.youtube.com/watch?v=S5QmPK_5rMY,9,on heroin,rating,-1
yGy0gnFS70E,https://www.youtube.com/watch?v=yGy0gnFS70E,10,codeine pills,date,2
Bm8cE37qqc0,https://www.youtube.com/watch?v=Bm8cE37qqc0,6,kratom withdrawal,rating,0
E8EyFfQMBMw,https://www.youtube.com/watch?v=E8EyFfQMBMw,9,what is kratom,date,0
v4GnSSvcYys,https://www.youtube.com/watch?v=v4GnSSvcYys,3,suboxone,viewCount,1
tzHKfZyevXo,https://www.youtube.com/watch?v=tzHKfZyevXo,9,suboxone,rating,1
ZtpTKAi7LIc,https://www.youtube.com/watch?v=ZtpTKAi7LIc,3,suboxone withdrawal,relevance,0
QUXzrr02LiQ,https://www.youtube.com/watch?v=QUXzrr02LiQ,5,suboxone clinic,date,4
MQazap2jjnw,https://www.youtube.com/watch?v=MQazap2jjnw,10,suboxone clinic,rating,0
QXWtqR3DvcA,https://www.youtube.com/watch?v=QXWtqR3DvcA,2,suboxone high,rating,0
faGfkDXX7zM,https://www.youtube.com/watch?v=faGfkDXX7zM,3,suboxone strips,date,3
aOUcfKXgt-M,https://www.youtube.com/watch?v=aOUcfKXgt-M,4,methadone addiction,date,1
OFGFeA6Ap7E,https://www.youtube.com/watch?v=OFGFeA6Ap7E,5,methadone addiction,rating,-1
CAaTFDD6isg,https://www.youtube.com/watch?v=CAaTFDD6isg,10,methadone addiction,rating,1
kya7Y62nMQU,https://www.youtube.com/watch?v=kya7Y62nMQU,3,methadone high,date,1
Y1lqDSnLxAQ,https://www.youtube.com/watch?v=Y1lqDSnLxAQ,10,methadone high,rating,1
