,video_id,video_url,M1,M2,M3,M4,M5,M6,M7,M8,overall
0,JqqfI-bIvnI,https://www.youtube.com/watch?v=JqqfI-bIvnI,0,0,0,0,0,0,0,0,0.0
1,H-Il9w-hIgg,https://www.youtube.com/watch?v=H-Il9w-hIgg,0,0,0,0,0,0,0,0,0.0
2,lmxF2owm3Gg,https://www.youtube.com/watch?v=lmxF2owm3Gg,0,0,0,-1,0,0,0,0,-1.0
3,BjsSuWKz2s0,https://www.youtube.com/watch?v=BjsSuWKz2s0,0,0,0,0,0,0,0,0,0.0
4,wpYcOznq0d8,https://www.youtube.com/watch?v=wpYcOznq0d8,0,0,0,0,0,0,0,0,0.0
5,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w,0,1,0,1,0,0,0,0,1.0
6,2awPPVKmpRQ,https://www.youtube.com/watch?v=2awPPVKmpRQ,0,0,0,-1,0,0,0,0,-1.0
7,C0tW8FWBm1g,https://www.youtube.com/watch?v=C0tW8FWBm1g,0,-1,0,0,0,0,0,0,-1.0
8,_Gv-7yHScco,https://www.youtube.com/watch?v=_Gv-7yHScco,-1,-1,-1,-1,-1,-1,-1,0,-1.0
9,lwbjAKQKmoM,https://www.youtube.com/watch?v=lwbjAKQKmoM,0,0,0,0,0,0,0,0,0.0
10,Jd76HxqCPf0,https://www.youtube.com/watch?v=Jd76HxqCPf0,0,0,0,0,0,0,0,0,0.0
11,F8dVH85cCZ0,https://www.youtube.com/watch?v=F8dVH85cCZ0,0,0,0,0,0,0,0,0,0.0
12,28rJqj-7pEY,https://www.youtube.com/watch?v=28rJqj-7pEY,0,0,0,0,0,0,0,0,0.0
13,Z2N2jqTkUlo,https://www.youtube.com/watch?v=Z2N2jqTkUlo,0,0,0,0,0,0,0,0,0.0
14,82QhIOgJy1c,https://www.youtube.com/watch?v=82QhIOgJy1c,0,-1,0,-1,0,0,0,0,-1.0
15,4gA61UowVHk,https://www.youtube.com/watch?v=4gA61UowVHk,0,0,0,0,0,0,0,0,0.0
16,WCqNLCzN-Fk,https://www.youtube.com/watch?v=WCqNLCzN-Fk,0,0,0,0,0,0,0,0,0.0
17,5nA0PurW0Ks,https://www.youtube.com/watch?v=5nA0PurW0Ks,0,0,0,0,0,0,0,0,0.0
18,LxyyvW_fcqw,https://www.youtube.com/watch?v=LxyyvW_fcqw,0,-1,0,-1,0,0,0,0,-1.0
19,hw9BG5jsE-g,https://www.youtube.com/watch?v=hw9BG5jsE-g,0,1,0,0,0,1,0,0,1.0
20,iFqcdVgYMf4,https://www.youtube.com/watch?v=iFqcdVgYMf4,0,0,0,0,0,0,0,0,0.0
21,ufROgG1N6ZI,https://www.youtube.com/watch?v=ufROgG1N6ZI,0,0,0,0,0,0,0,0,0.0
22,eK3E0LbbnHk,https://www.youtube.com/watch?v=eK3E0LbbnHk,0,0,0,0,0,0,0,0,0.0
23,ww5QdWNw8m8,https://www.youtube.com/watch?v=ww5QdWNw8m8,0,0,0,0,0,0,0,0,0.0
24,3OGQIgAgtnM,https://www.youtube.com/watch?v=3OGQIgAgtnM,0,0,0,0,0,0,0,0,0.0
25,67U1TXgQmIA,https://www.youtube.com/watch?v=67U1TXgQmIA,0,0,0,0,0,0,0,0,0.0
26,VGHAk9aOz0E,https://www.youtube.com/watch?v=VGHAk9aOz0E,0,0,0,-1,0,0,0,0,-1.0
27,pix13S7FDxo,https://www.youtube.com/watch?v=pix13S7FDxo,0,0,0,0,0,0,0,0,0.0
28,wpbO3J9sVdo,https://www.youtube.com/watch?v=wpbO3J9sVdo,0,0,0,0,0,0,0,0,0.0
29,TK_hNn3eJWE,https://www.youtube.com/watch?v=TK_hNn3eJWE,0,-1,0,-1,0,0,0,0,-1.0
30,0KVHg3oSyeM,https://www.youtube.com/watch?v=0KVHg3oSyeM,0,0,0,0,0,0,0,0,0.0
