ranking,query,sort_by_filter,video_id,video_url
1,fentanyl,relevance,JqqfI-bIvnI,https://www.youtube.com/watch?v=JqqfI-bIvnI
2,fentanyl,relevance,H-Il9w-hIgg,https://www.youtube.com/watch?v=H-Il9w-hIgg
3,fentanyl,relevance,lmxF2owm3Gg,https://www.youtube.com/watch?v=lmxF2owm3Gg
4,fentanyl,relevance,BjsSuWKz2s0,https://www.youtube.com/watch?v=BjsSuWKz2s0
5,fentanyl,relevance,wpYcOznq0d8,https://www.youtube.com/watch?v=wpYcOznq0d8
6,fentanyl,relevance,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w
7,fentanyl,relevance,2awPPVKmpRQ,https://www.youtube.com/watch?v=2awPPVKmpRQ
8,fentanyl,relevance,C0tW8FWBm1g,https://www.youtube.com/watch?v=C0tW8FWBm1g
9,fentanyl,relevance,_Gv-7yHScco,https://www.youtube.com/watch?v=_Gv-7yHScco
10,fentanyl,relevance,lwbjAKQKmoM,https://www.youtube.com/watch?v=lwbjAKQKmoM
1,fentanyl,viewCount,Jd76HxqCPf0,https://www.youtube.com/watch?v=Jd76HxqCPf0
2,fentanyl,viewCount,F8dVH85cCZ0,https://www.youtube.com/watch?v=F8dVH85cCZ0
3,fentanyl,viewCount,28rJqj-7pEY,https://www.youtube.com/watch?v=28rJqj-7pEY
4,fentanyl,viewCount,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w
5,fentanyl,viewCount,Z2N2jqTkUlo,https://www.youtube.com/watch?v=Z2N2jqTkUlo
6,fentanyl,viewCount,82QhIOgJy1c,https://www.youtube.com/watch?v=82QhIOgJy1c
7,fentanyl,viewCount,4gA61UowVHk,https://www.youtube.com/watch?v=4gA61UowVHk
8,fentanyl,viewCount,WCqNLCzN-Fk,https://www.youtube.com/watch?v=WCqNLCzN-Fk
9,fentanyl,viewCount,5nA0PurW0Ks,https://www.youtube.com/watch?v=5nA0PurW0Ks
10,fentanyl,viewCount,LxyyvW_fcqw,https://www.youtube.com/watch?v=LxyyvW_fcqw
1,fentanyl,date,hw9BG5jsE-g,https://www.youtube.com/watch?v=hw9BG5jsE-g
2,fentanyl,date,iFqcdVgYMf4,https://www.youtube.com/watch?v=iFqcdVgYMf4
3,fentanyl,date,ufROgG1N6ZI,https://www.youtube.com/watch?v=ufROgG1N6ZI
4,fentanyl,date,eK3E0LbbnHk,https://www.youtube.com/watch?v=eK3E0LbbnHk
5,fentanyl,date,ww5QdWNw8m8,https://www.youtube.com/watch?v=ww5QdWNw8m8
6,fentanyl,date,3OGQIgAgtnM,https://www.youtube.com/watch?v=3OGQIgAgtnM
7,fentanyl,date,67U1TXgQmIA,https://www.youtube.com/watch?v=67U1TXgQmIA
8,fentanyl,date,VGHAk9aOz0E,https://www.youtube.com/watch?v=VGHAk9aOz0E
9,fentanyl,date,pix13S7FDxo,https://www.youtube.com/watch?v=pix13S7FDxo
10,fentanyl,date,wpbO3J9sVdo,https://www.youtube.com/watch?v=wpbO3J9sVdo
1,fentanyl,rating,TK_hNn3eJWE,https://www.youtube.com/watch?v=TK_hNn3eJWE
2,fentanyl,rating,0KVHg3oSyeM,https://www.youtube.com/watch?v=0KVHg3oSyeM
3,fentanyl,rating,Tj9CxN8YLEU,https://www.youtube.com/watch?v=Tj9CxN8YLEU
4,fentanyl,rating,3OGQIgAgtnM,https://www.youtube.com/watch?v=3OGQIgAgtnM
5,fentanyl,rating,U6nRlgWh76w,https://www.youtube.com/watch?v=U6nRlgWh76w
6,fentanyl,rating,bEWY7Ps6uy4,https://www.youtube.com/watch?v=bEWY7Ps6uy4
7,fentanyl,rating,OxUiFwoqy_o,https://www.youtube.com/watch?v=OxUiFwoqy_o
8,fentanyl,rating,eGEa08s8ZdM,https://www.youtube.com/watch?v=eGEa08s8ZdM
9,fentanyl,rating,4RlNoRtl3m0,https://www.youtube.com/watch?v=4RlNoRtl3m0
10,fentanyl,rating,OsfX14y20oI,https://www.youtube.com/watch?v=OsfX14y20oI
1,overdose fentanyl,relevance,2awPPVKmpRQ,https://www.youtube.com/watch?v=2awPPVKmpRQ
2,overdose fentanyl,relevance,Jd76HxqCPf0,https://www.youtube.com/watch?v=Jd76HxqCPf0
3,overdose fentanyl,relevance,lmxF2owm3Gg,https://www.youtube.com/watch?v=lmxF2owm3Gg
4,overdose fentanyl,relevance,xXplHkdgKj0,https://www.youtube.com/watch?v=xXplHkdgKj0
5,overdose fentanyl,relevance,hSsKgM8-SfE,https://www.youtube.com/watch?v=hSsKgM8-SfE
6,overdose fentanyl,relevance,_6kEcb2Hs9c,https://www.youtube.com/watch?v=_6kEcb2Hs9c
